Fecha;Estacion_seleccionada;PromedioDiario_MP10;ICAP_MP10;ICAP_mod_MP10;PromedioDiario_MP2_5;ICAP_MP2_5;ICAP_mod_MP2_5;condicion_final;condicion_mod
2026-01-24;Arica;;;;20.05;40.10;110.92;Bueno;Regular
2026-01-25;Arica;;;;20.05;40.10;110.92;Bueno;Regular
2026-01-26;Arica;;;;14.86;29.73;99.09;Bueno;Bueno
2026-01-27;Arica;;;;17.52;35.04;105.45;Bueno;Regular
2026-01-28;Arica;;;;13.00;26.00;86.67;Bueno;Bueno
2026-01-29;Arica;;;;16.33;32.67;102.88;Bueno;Regular
2026-01-30;Arica;;;;13.92;27.83;92.78;Bueno;Bueno
2026-01-31;Arica;;;;15.21;30.42;100.45;Bueno;Regular
2026-02-01;Arica;;;;18.14;36.27;106.78;Bueno;Regular
2026-02-02;Arica;;;;16.26;32.52;102.72;Bueno;Regular
2026-02-03;Arica;;;;18.00;36.00;106.49;Bueno;Regular
2026-02-04;;;;;;;;;
2026-02-05;Arica;;;;20.40;40.80;111.68;Bueno;Regular
2026-02-06;Arica;;;;4.83;9.67;32.22;Bueno;Bueno
2026-02-07;Arica;;;;10.71;21.42;71.39;Bueno;Bueno
2026-02-08;Arica;;;;10.50;21.00;70.00;Bueno;Bueno
2026-02-09;Arica;;;;11.79;23.58;78.61;Bueno;Bueno
2026-02-10;Arica;;;;11.62;23.25;77.50;Bueno;Bueno
2026-02-11;Arica;;;;9.29;18.58;61.94;Bueno;Bueno
2026-02-12;Arica;;;;7.46;14.92;49.72;Bueno;Bueno
2026-02-13;Arica;;;;7.42;14.83;49.44;Bueno;Bueno
2026-02-14;Arica;;;;10.88;21.75;72.50;Bueno;Bueno
2026-02-15;Arica;;;;8.29;16.58;55.28;Bueno;Bueno
2026-02-16;Arica;;;;8.79;17.58;58.61;Bueno;Bueno
2026-02-17;Arica;;;;11.25;22.50;75.00;Bueno;Bueno
2026-02-18;Arica;;;;10.50;21.00;70.00;Bueno;Bueno
2026-02-19;Arica;;;;10.04;20.08;66.94;Bueno;Bueno
2026-02-20;;;;;;;;;
2026-02-21;;;;;;;;;
2026-02-22;;;;;;;;;
2026-02-23;;;;;;;;;
2026-02-24;Arica;;;;12.45;24.91;83.03;Bueno;Bueno
2026-02-25;Arica;;;;10.78;21.57;71.88;Bueno;Bueno
2026-02-26;Arica;;;;11.08;22.17;73.89;Bueno;Bueno
2026-02-27;Arica;;;;11.64;23.27;77.58;Bueno;Bueno
2026-02-28;Arica;;;;7.41;14.82;49.39;Bueno;Bueno
2026-03-01;Arica;;;;17.45;34.91;105.31;Bueno;Regular
2026-03-02;Arica;;;;16.13;32.26;102.44;Bueno;Regular
2026-03-03;Arica;;;;14.85;29.70;99.00;Bueno;Bueno
2026-03-04;Arica;;;;10.73;21.45;71.52;Bueno;Bueno
