Fecha;Estacion_seleccionada;PromedioDiario_MP10;ICAP_MP10;ICAP_mod_MP10;PromedioDiario_MP2_5;ICAP_MP2_5;ICAP_mod_MP2_5;condicion_final;condicion_mod
2025-08-23;Padre_Las_Casas_II;15.5;11.92;34.44;11.0;22.0;73.33;Bueno;Bueno
2025-08-24;Villarrica;;;;18.25;36.5;107.03;Bueno;Regular
2025-08-25;Padre_Las_Casas_II;21.73;16.71;48.28;13.12;26.25;87.5;Bueno;Bueno
2025-08-26;Las_Encinas_Temuco;26.62;20.48;59.17;22.54;45.08;116.33;Bueno;Regular
2025-08-27;Villarrica;;;;75.42;184.72;233.07;Regular;Alerta
2025-08-28;Villarrica;;;;32.12;64.25;137.19;Bueno;Regular
2025-08-29;Padre_Las_Casas_II;41.62;32.02;92.5;27.75;55.5;127.65;Bueno;Regular
2025-08-30;Padre_Las_Casas_II;55.12;42.4;116.61;39.5;79.0;153.33;Bueno;Regular
2025-08-31;Nielol;34.42;26.47;76.48;28.58;57.17;129.46;Bueno;Regular
2025-09-01;Padre_Las_Casas_II;17.42;13.4;38.7;9.71;19.42;64.72;Bueno;Bueno
2025-09-02;Villarrica;;;;18.0;36.0;106.49;Bueno;Regular
2025-09-03;Padre_Las_Casas_II;48.75;37.5;106.14;39.12;78.25;152.51;Bueno;Regular
2025-09-04;Las_Encinas_Temuco;73.96;56.89;147.68;71.54;171.81;224.37;Regular;Alerta
2025-09-05;Nielol;57.75;44.42;120.92;47.0;94.0;169.83;Bueno;Regular
2025-09-06;Padre_Las_Casas_II;41.33;31.79;91.85;24.79;49.58;121.21;Bueno;Regular
2025-09-07;Padre_Las_Casas_II;19.12;14.71;42.5;14.04;28.08;93.61;Bueno;Bueno
2025-09-08;Padre_Las_Casas_II;11.83;9.1;26.3;3.88;7.75;25.83;Bueno;Bueno
2025-09-09;Villarrica;;;;5.71;11.42;38.06;Bueno;Bueno
2025-09-10;Padre_Las_Casas_II;40.09;30.84;89.09;25.27;50.55;122.26;Bueno;Regular
2025-09-11;Villarrica;;;;50.08;100.28;176.64;Regular;Regular
2025-09-12;Villarrica;;;;58.21;127.36;194.63;Regular;Regular
2025-09-13;Padre_Las_Casas_II;30.71;23.62;68.24;19.71;39.42;110.18;Bueno;Regular
2025-09-14;Villarrica;;;;47.58;95.17;171.12;Bueno;Regular
2025-09-15;Padre_Las_Casas_II;54.0;41.54;114.76;32.25;64.5;137.46;Bueno;Regular
2025-09-16;Padre_Las_Casas_II;67.12;51.63;136.38;42.46;84.92;159.83;Bueno;Regular
2025-09-17;Nielol;26.75;20.58;59.44;7.83;15.67;52.22;Bueno;Bueno
2025-09-18;Padre_Las_Casas_II;14.0;10.77;31.11;8.29;16.58;55.28;Bueno;Bueno
2025-09-19;Nielol;22.33;17.18;49.63;17.71;35.42;105.85;Bueno;Regular
2025-09-20;Padre_Las_Casas_II;9.67;7.44;21.48;6.75;13.5;45.0;Bueno;Bueno
2025-09-21;Padre_Las_Casas_II;11.62;8.94;25.83;8.17;16.33;54.44;Bueno;Bueno
2025-09-22;Padre_Las_Casas_II;25.5;19.62;56.67;14.38;28.75;95.83;Bueno;Bueno
2025-09-23;Villarrica;;;;38.92;77.83;152.05;Bueno;Regular
2025-09-24;Padre_Las_Casas_II;34.67;26.67;77.04;19.0;38.0;108.65;Bueno;Regular
2025-09-25;Padre_Las_Casas_II;31.08;23.91;69.07;13.38;26.75;89.17;Bueno;Bueno
2025-09-26;Villarrica;;;;9.68;19.36;64.55;Bueno;Bueno
2025-09-27;Padre_Las_Casas_II;12.58;9.68;27.96;5.33;10.67;35.56;Bueno;Bueno
2025-09-28;Villarrica;;;;12.0;24.0;80.0;Bueno;Bueno
2025-09-29;Villarrica;;;;36.08;72.17;145.85;Bueno;Regular
2025-09-30;Villarrica;;;;26.25;52.5;124.38;Bueno;Regular
2025-10-01;Padre_Las_Casas_II;26.17;20.13;58.15;13.54;27.08;90.28;Bueno;Bueno
2025-10-02;Padre_Las_Casas_II;26.48;20.37;58.84;11.3;22.61;75.36;Bueno;Bueno
2025-10-03;Nielol;103.67;79.74;197.18;11.62;23.25;77.5;Bueno;Regular
2025-10-04;Villarrica;;;;26.88;53.75;125.74;Bueno;Regular
2025-10-05;Villarrica;;;;37.08;74.17;148.04;Bueno;Regular
2025-10-06;Villarrica;;;;25.5;51.0;122.75;Bueno;Regular
2025-10-07;Villarrica;;;;23.5;47.0;118.41;Bueno;Regular
2025-10-08;Villarrica;;;;12.92;25.83;86.11;Bueno;Bueno
2025-10-09;Nielol;13.17;10.13;29.26;2.33;4.67;15.56;Bueno;Bueno
2025-10-10;Nielol;19.62;15.1;43.61;5.71;11.42;38.06;Bueno;Bueno
2025-10-11;Villarrica;;;;17.42;34.83;105.22;Bueno;Regular
2025-10-12;Las_Encinas_Temuco;21.67;16.67;48.15;18.96;37.92;108.56;Bueno;Regular
2025-10-13;Villarrica;;;;26.25;52.5;124.38;Bueno;Regular
2025-10-14;Padre_Las_Casas_II;15.92;12.24;35.37;7.08;14.17;47.22;Bueno;Bueno
2025-10-15;Padre_Las_Casas_II;15.32;11.78;34.04;9.55;19.09;63.64;Bueno;Bueno
